name,city,county,region,address,website,phone,flags,notes
"Islamic Center of Charlotte (ICC) / Masjid Al-Towbah",Charlotte,Mecklenburg,Charlotte Metro,"1700 Progress Ln, Charlotte, NC 28205",https://iccharlotte.org/,(704) 537-9399,,"Charlotte's first Islamic center, opened 1988. Includes Charlotte Islamic Academy and Al-Nour Community Center. Second site 8310 Harrisburg Rd. Alt phone 704-777-5540."
"Islamic Society of Greater Charlotte (ISGC) / Masjid al-Mustafa",Charlotte,Mecklenburg,Charlotte Metro,"7025 The Plaza, Charlotte, NC 28215",https://isgcharlotte.org/,(704) 536-2016,,
"Masjid Ash-Shaheed",Charlotte,Mecklenburg,Charlotte Metro,"400 W Sugar Creek Rd, Charlotte, NC 28213",https://masjidashshaheed.org/,(704) 598-4274,,"Built 2007 on 8 acres; plans for a Model Islamic Community."
"Pillars Mosque (formerly Muslim Community Center of Charlotte)",Charlotte,Mecklenburg,Charlotte Metro,"3116 Johnston Oehler Rd, Charlotte, NC 28269",https://pillarsmosque.org/,(980) 987-7171,,"Renamed from MCC. Imam John Ederer. $9M new-building project; Jumu'ah attendance grew ~200 to ~1200. Also charlottemcc.org."
"University Muslim Community Center (UMCC)",Charlotte,Mecklenburg,Charlotte Metro,"11915 US-29, Charlotte, NC 28262",http://www.umcc-charlotte.org/,(704) 900-8011,,
"Masjid Ali Shah and School",Charlotte,Mecklenburg,Charlotte Metro,"1230 Beatties Ford Rd, Charlotte, NC 28216",,(704) 377-4752,,"Mosque plus school in same building. No website located."
"Masjid Qiblataini",Charlotte,Mecklenburg,Charlotte Metro,"5900 Hickory Grove Rd, Charlotte, NC 28215",https://www.masjidqiblatain.com/,,,"Sunni, English-speaking congregation."
"Al-Zahra Islamic Center of Charlotte (AZICC)",Charlotte,Mecklenburg,Charlotte Metro,"5227 Monroe Rd, Charlotte, NC 28205",https://azicc.org/,(704) 561-1667,SHIA,"Shia center. Future-building project site newcenter.azicc.org. Do not confuse with azic.org (different org)."
"Muhammad Mosque No. 36",Charlotte,Mecklenburg,Charlotte Metro,"203 N Cloudman St, Charlotte, NC 28216",https://noicharlotte.com/,(704) 399-0096,NATION-OF-ISLAM,"Nation of Islam, not a Sunni masjid. Include or exclude per purpose."
"Muslim Education Center (MEC)",Charlotte,Mecklenburg,Charlotte Metro,"4301 Shamrock Dr, Charlotte, NC 28215",https://www.meccharlotte.org/,(704) 802-9171,ADDRESS-CONFLICT,"Yelp also lists an 'Islamic Center of Charlotte' at this same address; one listing is likely stale."
