region,name,address,city,phone,facebook,website
Bas-Saint-Laurent,Mosquée de Rimouski - Centre Islamique de Rimouski,111 rue Saint-Jean-Baptiste Est,Rimouski,,,https://mawaqit.net/en/mosquee-de-rimouski-rimouski
Capitale-Nationale,Mosquée de Québec à Limoilou,1287 1re Avenue,Québec (Limoilou),418-473-4447,,http://www.mosqueedequebec.com/
Côte-Nord,Centre Culturel Musulman de la Côte-Nord (Mosquée de Sept-Îles),,Sept-Îles,,,https://ccmcotenord.wixsite.com/ccmcn
Estrie,Centre culturel islamique de Lac-Mégantic,Corner of rue Québec-Central and rue Dollard (street number not found),Lac-Mégantic,,,
Estrie,Student prayer room,19 MacKinnon Dr,Sherbrooke,,,
Lanaudière,Masjid Terrebonne,3657-3675,Sainte-Julienne,,,
Laval,Association des Jeunes Al Zahraa,3943 Bd Leman,Laval,,https://www.facebook.com/Shabab.Alzahraa.ca?mibextid=ZbWKwL,
Laval,Markaz AICP Laval,1316 Boulevard du Curé-Labelle,Laval (Chomedey),,,
Laval,Masjid Okba Ben Nafi,77 Boulevard Samson (older listings: 270 Boulevard Samson #201),Laval (Sainte-Dorothée),450-238-1402,,http://www.okba.org
Laval,Centre Islamique Ahmadiyya de Laval,3868 Boulevard Sainte-Rose,Laval (Sainte-Rose),+1 581-777-7955,,http://www.ahmadiyya.ca/
Mauricie,Centre Culturel Musulman de Shawinigan (CCMS),2483 avenue Saint-Marc,Shawinigan,,,http://ccmshawinigan.ca/
Mauricie,Minhaj As-Sunnah An-Nabawiyyah,3450 Bd du Chanoine Moreau,Trois-Rivieres,+18736644996,,
Montréal,Sakina Center West Island,2111-A Boul Saint Regis,Dollard-Des-Ormeaux,,,https://sakinamontreal.com
Montréal,Association Musulmane Turque de Montréal (Turkish Muslim Association of Montreal / Mosquée Dorval),416 Boulevard Neptune,Dorval,514-636-2827,,www.elfath.ca (as listed; unverified)
Montréal,Salle de prière de l'Aéroport YUL,bd Roméo-Vachon N,Dorval,,,
Montréal,Ismaili Community Centre And Jamatkhana - Montreal (Centre communautaire Ismaili et Jamatkhana),2405 Chem. Duncan,Mont-Royal,+1 514-738-8866,,
Montréal,Aljazira Islamic Center,280 Rue Elgar,Montreal,,,http://www.mosqueprayertimes.com/aljaziramosque
Montréal,Centre Culturel Khadimou Rassoul - Keur Serigne Touba - Nourou Darayni - Sope Serig Fallou - FONCAB,10775 Avenue Millen,Montréal,,,
Montréal,Centre islamique de Québec et de Canada (Centre Islamique Al Baina du Québec Canada),10155 St Laurent Blvd,Montreal,+1 514-548-2107,,https://albaina.ca/
Montréal,Darlington Community Center,2876 Rue Goyer,Montréal,,,
Montréal,Emam Hosein,8240Ave,Montreal,,,
Montréal,Imani Community Center - ICC,552 Rue Richmond,Montreal,,,
Montréal,Madrasa And Musalla Omar (Madrassat omar bno lkhatabe),7690 Av. Querbes,Montréal,+1 514-746-0541,,
Montréal,Markaz Hub E Rasool,1006 Rue Jean-Talon O,Montréal,+1 514-882-1400,,
Montréal,Mosalla Baitul Maqdis,9085 45e Rue,Montréal,,,
Montréal,Mosquee,2025 Madison Ave,Montreal,,,
Montréal,Mosquée Al falah Ahuntsic,1 Rue Legendre O,Montréal,,,
Montréal,Mosquee Al Qods,2465 Rue Bélanger,Montréal,+1 514-729-5737,,
Montréal,Musallah hamza,569 Jarry St W,Montreal,+1 438-401-1875,,https://prayersconnect.com/mosques/12411921-musallah-hamza-montreal-quebec-canada
Montréal,Shah Jalal Mosque (Centre Islamique Shah Jalal),3740 Rue Workman,Montréal,+1 514-935-1213,,
Montréal,Bilal Islamic & Cultural Center of Quebec (Musallah Bilal),"5775 Avenue Victoria, Suite 107 (older listing: 5482 Avenue Victoria)",Montréal (Côte-des-Neiges),514-739-3856 (older: 514-342-0210),https://www.facebook.com/bilalicq/,
Montréal,Imambargah Babul Hawaij (Shia),"5110 Avenue de Courtrai, #301",Montréal (Côte-des-Neiges),514-733-7447,,babulhawaij.ca
Montréal,Mosquée Al Falah (Association Centre Côte-des-Neiges),6550 Avenue de Darlington,Montréal (Côte-des-Neiges),514-736-5023,,
Montréal,Taiba Masjid (Socio-Cultural Center),3560 Avenue Van Horne,Montréal (Côte-des-Neiges),,,
Montréal,"Université de Montréal multifaith prayer rooms (pilot; CEPSUM 8250, Jean-Brillant B-3315, Aménagement 0036)",Campus Université de Montréal (CEPSUM room 8250; Pavillon Jean-Brillant B-3315; Faculté de l'aménagement room 0036),Montréal (Côte-des-Neiges),,,https://aemudm.ca/
Montréal,Communauté Musulmane de LaSalle / Musalla Umar,9023 Rue Airlie,Montréal (LaSalle),514-367-5858,,http://www.cmlasalle.org/
Montréal,Islamic Center Al-Houda (ICAH),9935 avenue Lausanne,Montréal (Montréal-Nord),514-291-9256,,
