region,name,type,address,city,postal_code,phone,email,alt_email,website,confidence,source,email_source
"Laval, Lanaudière, Laurentides",Mosquée de Joliette - ACML (Association Culturelle des Musulmans de Lanaudière),mosque,1260 Rue Notre-Dame,Joliette,J6E 7L2,450-750-0123,acmljoliette@gmail.com,info@acml-joliette.org,https://acml-joliette.org/,high,https://prayersconnect.com/mosques/12412579-joliette-mosque-joliette-quebec-canada,https://acml-joliette.org/contact/
"Laval, Lanaudière, Laurentides",Madani Mosque,mosque,,Laval,,,,,,low,https://esalah.com/mosques/canada/laval/laval/,
"Laval, Lanaudière, Laurentides",Taiba Mosque,mosque,,Laval,,,,,,low,https://esalah.com/mosques/canada/laval/laval/,
"Laval, Lanaudière, Laurentides",Centre Communautaire Musulman IQRA (CCMI / Centre IQRA),islamic_centre,960 Boulevard du Curé-Labelle,Laval (Chomedey),H7V 2V5,514-250-0265,contact@centreiqra.org,,https://centreiqra.org/,high,https://www.mosquee-proche.com/fr/mosquee/ccmi-centre-communautaire-musulman-iqra-laval-h7v-2v5-canada/5496/,https://centreiqra.org/
"Laval, Lanaudière, Laurentides",Centre Culturel Islamique de Laval (Khalid Ben El Walid),mosque,1330 Rue Antonio,Laval (Chomedey),H7V 3N4,450-680-1612,contact@ccil-kbw.com,,,high,https://esalah.com/mosques/canada/laval/laval/,https://ccil-kbw.com/
"Laval, Lanaudière, Laurentides",Centre Kawtar de Laval,mosque,3871 Autoroute des Laurentides,Laval (Chomedey),H7L 3H7,450-682-8055,centrekawtar@outlook.com,,,high,"https://islammessage.org/en/center/2067/Centre-Kawtar-de-Laval--3871-Autoroute-des-Laurentides,-Chomedey,-QC-H7L-3H7",https://centrekawtar.net/nous-joindre/
"Laval, Lanaudière, Laurentides",Markaz AICP Laval,musalla,1316 Boulevard du Curé-Labelle,Laval (Chomedey),H7V 2W1,,,,,high,https://irizq.com/index.php/markaz-aicp-laval,
"Laval, Lanaudière, Laurentides",Jamia Masjid Siddiquia (Masjid Noor e Jamia-e-Siddiquia Community Center),mosque,1655 Rue du Couvent,Laval (Laval-des-Rapides),H7W 3A8,438-788-0496,info@jamiasiddiquialaval.com,communitycentresiddiquia@gmail.com,https://jamiasiddiquialaval.com/,high,https://jamiasiddiquialaval.com/contact-us/,https://jamiasiddiquialaval.com/contact-us/
"Laval, Lanaudière, Laurentides",Masjid Al-Jisr (Centre Al-Jisr),mosque,3005 Boulevard Cartier Ouest,Laval (Laval-des-Rapides),H7V 1J3,450-681-2133,masjidaljisr@gmail.com,,,high,https://canada247.info/explore/quebec/laval/masjid-aljisr-450-681-2133.html,https://centrealjisr.com/contacts/
"Laval, Lanaudière, Laurentides",Masjid Al-Itissam (Association Islamique Al Ihssane de Laval),mosque,600 Boulevard des Laurentides,Laval (Pont-Viau),H7G 2V5,450-668-4381,info@al-itissam.org,,https://al-itissam.org/,high,https://prayersconnect.com/fr/mosques/12461611-masjid-al-itissam-laval-quebec-canada,https://al-itissam.org/contactez-nous/
"Laval, Lanaudière, Laurentides",Masjid Okba Ben Nafi,mosque,77 Boulevard Samson (older listings: 270 Boulevard Samson #201),Laval (Sainte-Dorothée),H7X 3E6,450-238-1402,,,http://www.okba.org,medium,https://esalah.com/mosques/canada/laval/laval/,
"Laval, Lanaudière, Laurentides",Mosque at 909 Montée Gravel (name not confirmed),mosque,909 Montée Gravel,Laval (Sainte-Dorothée / Laval-Ouest),H7X 2B6,,,,,medium,https://praysalat.com/mosques/canada/quebec/laval,
"Laval, Lanaudière, Laurentides",Centre Aman Laval,mosque,35 Boulevard du Curé-Labelle,Laval (Sainte-Rose),H7L 2Y8,514-802-3732,masjid.alamane@gmail.com,,https://amanlaval.com/,high,https://www.mosquee-proche.com/en/mosquee/centre-aman-laval/2025/,https://www.mosquee-proche.com/en/mosquee/centre-aman-laval/2025/
"Laval, Lanaudière, Laurentides",Centre Islamique Ahmadiyya de Laval,mosque,3868 Boulevard Sainte-Rose,Laval (Sainte-Rose),H7P 1C9,,,,,medium,https://www.pagesjaunes.ca/search/si/1/Centre-Culturel-Islamique-De-Ste-Rose/Laval+QC,
"Laval, Lanaudière, Laurentides",Centre Assalam de Laval Est,islamic_centre,1245 Montée du Moulin,Laval (Saint-François),H7A 3V6,450-256-0115,centreassalam@gmail.com,info@centre-assalam.com,https://centre-assalam.com/,high,https://muslimguideme.com/en/place/Centre-Assalam-De-Laval-Est/1321,https://initiatives-musulmanes.com/dalilook/directory/centre-assalam-laval/
"Laval, Lanaudière, Laurentides",Centre Communautaire Musulman Essalam,islamic_centre,"2685 Chemin Sainte-Marie, local L",Mascouche,J7K 1M8,438-396-6648,contact@essalam.ca,,https://www.essalam.ca,high,https://www.profilecanada.com/companydetail.cfm?company=719719_Centre_Communautaire_Musulman_Essalam_Mascouche_QC,https://www.essalam.ca/contact
"Laval, Lanaudière, Laurentides",Centre Culturel Islamique de Lanaudière (CCIL) / Masjid At-Tassamouh,mosque,589 Rue Leclerc (older listings: 597 Boulevard Iberville),Repentigny,J6A 7N3,450-932-3932,communication@ccilanaudiere.org,,https://ccilanaudiere.org/,high,https://www.lejournaldejoliette.ca/commerces/associations/46943/centre-culturel-islamique-de-lanaudiere,https://ccilanaudiere.org/
"Laval, Lanaudière, Laurentides",Masjid Terrebonne,mosque,,Sainte-Julienne,,,,,,low,https://prayersconnect.com/mosques/12402132-masjid-terrebonne-sainte-julienne-quebec-canada,
"Laval, Lanaudière, Laurentides",Centre Rayan,islamic_centre,,Sainte-Thérèse,,,,,,low,https://www.facebook.com/centrerayansaintetherese/,
"Laval, Lanaudière, Laurentides",Masjid Al-Hak,mosque,,Saint-Jérôme,J7Z 5M2,,,,,medium,https://mawaqit.net/en/m/masjid-al-hak-saint-jerome-j7z-5m2-canada,
"Laval, Lanaudière, Laurentides",Mosquée Minaret du Nord,mosque,293 Rue Labelle,Saint-Jérôme,J7Z 5L2,450-821-3559,minaretdunord@gmail.com,info@manaratalchamal.org,,high,https://yably.ca/reviews/saint-jerome/mosquee-minaret-du-nord-293-rue-labelle,https://minaretdunord.net/
"Laval, Lanaudière, Laurentides",Mosquée Al-Firdaws (Centre Culturel Musulman de Terrebonne),mosque,3660 chemin Gascon,Terrebonne,,,alfirdawsmasjid@gmail.com,,https://mosqueealfirdaws.net/,high,https://mosqueealfirdaws.net/,https://mosqueealfirdaws.net/
Montréal (centre/ouest),Canadian Islamic Centre (Al-Jamieh),islamic_centre,241 Avenue Anselme-Lavigne,Dollard-des-Ormeaux,H9A 3H6,514-624-5833,cicaljamieh@gmail.com,,,high,https://proudmuslimmtl.ca/masjids/pierrefonds-roxboro/,http://cical-jamieh.com/en/contact-us/
Montréal (centre/ouest),Islamic Centre of West Island (Centre Islamique du West Island),islamic_centre,31 Rue Montrose,Dollard-des-Ormeaux,H9B 2J5,514-684-3100,info@icwestisland.com,,,high,https://muslimlink.ca/directory/montreal/muslim-services/masjids-musallahs/3152-centre-islamique-du-west-island?city=montreal,https://prayersconnect.com/mosques/12410160-islamic-center-of-west-island-dollard-des-ormeaux-quebec-canada/contact-us
Montréal (centre/ouest),Mosquée Al-Rawdah / Centre Communautaire Laurentien (MAC),mosque,12253 Boulevard Laurentien,Montréal (Ahuntsic-Cartierville),H4K 1N5,,info@cclmac.ca,,,high,https://mapcarta.com/N6467166681,https://initiatives-musulmanes.com/dalilook/directory/mac-ccl/
Montréal (centre/ouest),Al-Khoei Islamic Foundation (Shia),islamic_centre,7085 Chemin de la Côte-des-Neiges,Montréal (Côte-des-Neiges),H3S 2B8,514-341-2235,info@khoei.ca,AlKhoeiFoundation@gmail.com,,high,https://muslimlink.ca/directory/montreal/muslim-services/masjids-musallahs/3154-al-khoei-mtl?city=Montreal,https://www.khoei.ca/destinations
Montréal (centre/ouest),Masjid Baitul Mukarram,mosque,4225 Avenue de Courtrai,Montréal (Côte-des-Neiges),H3S 1B8,514-737-8671,connect@mbmmtl.org,masjidbaitulmukarrammtl@gmail.com,,high,https://muslimlink.ca/directory/montreal/muslim-services/masjids-musallahs/3126-baitul-mukkarram?city=montreal,https://initiatives-musulmanes.com/dalilook/directory/masjid-baitul-mukarram/
Montréal (centre/ouest),Mosquée Al Falah (Association Centre Côte-des-Neiges),mosque,6550 Avenue de Darlington,Montréal (Côte-des-Neiges),H3S 2J3,514-736-5023,,,,high,https://muslimlink.ca/directory/montreal/muslim-services/masjids-musallahs/3144-al-falah?city=Montreal,
Montréal (centre/ouest),Mosquée Dhoun-Nourain,mosque,"5180 Chemin Queen-Mary, Local 320 (reported relocated to 5275 Chemin Queen-Mary, 2nd floor)",Montréal (Côte-des-Neiges),H3W 3E7,,,,https://mosquee-dhoun-nourain.com/,medium,https://mosquee-dhoun-nourain.com/contact/,
Montréal (centre/ouest),Taiba Masjid (Socio-Cultural Center),mosque,3560 Avenue Van Horne,Montréal (Côte-des-Neiges),H3S 1R6,,,,,high,https://moonode.com/entity/taiba-410971-3560-avenue-van-horne-montreal-qc-h3s-1r6-canada,
Montréal (centre/ouest),Association Musulmane de Lachine (AML) / Al-Sahabah Lachine Mosquée,mosque,1220 Rue Notre-Dame (Waze lists 1212 Rue Notre-Dame),Montréal (Lachine),H8S 2C6,,contact@amlachine.org,info.aml.org@gmail.com,https://www.amlachine.org/en,high,https://www.amlachine.org/en,https://www.amlachine.org/en
Montréal (centre/ouest),Communauté Musulmane de LaSalle / Musalla Umar,mosque,9023 Rue Airlie,Montréal (LaSalle),H8R 2A4,514-367-5858,,,http://www.cmlasalle.org/,high,https://canada247.org/explore/quebec/communaute_urbaine_de_montreal/montreal/lasalle/musalla-umar.html,
Montréal (centre/ouest),Mosquée NDG,mosque,6277 Rue Saint-Jacques,Montréal (Notre-Dame-de-Grâce),H4B 1T6,514-545-2515,info@ndg-mosque.com,,ndg-mosque.com,high,https://www.praysalat.com/mosque/montreal/2226-mosquee-ndg,https://ndg-mosque.com/contact-us/
Montréal (centre/ouest),Muslim Community of Quebec (MCQ) / Mosquée de Montréal,mosque,7445 Avenue Chester,Montréal (Notre-Dame-de-Grâce),H4V 1M4,,info@muslimcommunityofquebec.ca,,https://muslimcommunityofquebec.ca/,high,"https://islammessage.org/en/center/2058/Muslim-Community-of-Quebec--7445-Chester-Avenue,-NDG,-Montr%C3%A9al,-QC-H4V-1M4",https://muslimcommunityofquebec.ca/contact/
Montréal (centre/ouest),Mosquée Assuna Annabawiyah,mosque,7220 Rue Hutchison,Montréal (Parc-Extension),H3N 1Z1,514-278-8441,assuna.annabawiyah@gmail.com,,https://assuna.org/,high,http://assuna.org/services-et-appui/mosquee/,http://assuna.org/contact-us/
Montréal (centre/ouest),Masjid Al Huda,mosque,9540 Boulevard Gouin Ouest,Montréal (Pierrefonds-Roxboro),H8Y 2B1,514-542-4832,admin@ccalhuda.ca,,,high,https://proudmuslimmtl.ca/masjids/pierrefonds-roxboro/,https://initiatives-musulmanes.com/dalilook/directory/masjid-al-huda/
Montréal (centre/ouest),Masjid Makkah-Al-Mukarramah (Pierrefonds),mosque,11900 Boulevard Gouin Ouest,Montréal (Pierrefonds-Roxboro),H8Z 1V6,514-421-1455,masjidmakkah@outlook.com,,,high,https://proudmuslimmtl.ca/masjids/pierrefonds-roxboro/,https://masjidmakkah.com/contact-us/
Montréal (centre/ouest),Khadijah Masjid (IQRA Foundation),mosque,2485 Rue du Centre,"Montréal (Pointe-Saint-Charles, Le Sud-Ouest)",H3K 1J9,514-939-0681,info@khadijahmtl.org,,https://www.iqrafoundation.net/,high,https://muslimlink.ca/directory/montreal/muslim-services/masjids-musallahs/3162-khadijah-masjid?city=montreal,https://khadijahmtl.org/venue/khadijah-centre/
Montréal (centre/ouest),Centre Islamique Al-Andalous (Al-Andalous Islamic Center),islamic_centre,816 Avenue Sainte-Croix (earlier: 970 boul. Décarie),Montréal (Saint-Laurent),H4L 3Y4,514-360-2360,info@icandalous.ca,,https://www.icandalous.ca/,high,https://muslimlink.ca/directory/montreal/muslim-services/masjids-musallahs/3106-Al-Andalous?city=montreal,https://www.icandalous.ca/contactez-nous/
Montréal (centre/ouest),Centre Islamique de Verdun / Mosquée Abuhuraira (MAC),mosque,4538 Rue de Verdun,Montréal (Verdun),H4G 1M3,514-508-9419,verdun.muslims@gmail.com,info@civmac.ca,,high,https://muslimlink.ca/directory/montreal/muslim-services/masjids-musallahs/3158-centre-islamique-de-verdun?city=montreal,https://muslimlink.ca/directory/montreal/muslim-services/masjids-musallahs/3158-centre-islamique-de-verdun?city=montreal
Montréal (centre/ouest),Centre Al-Madinah (downtown),islamic_centre,,Montréal (Ville-Marie),,,info@almadinah-center.org,,,low,https://www.salam-mosque.org/,https://almadinah-center.org/en/contact-us/
Montréal (centre/ouest),Concordia University MSA musalla,university,,Montréal (Ville-Marie),,,,,,low,https://www.icqmontreal.com/montrealMosques.html,
Montréal (centre/ouest),"Mosquée As-Salam (Masjid As-Salam, IQRA/downtown)",mosque,1177 Rue de la Montagne,Montréal (Ville-Marie),,,info@salam-mosque.org,,https://www.salam-mosque.org/,medium,https://www.salam-mosque.org/,https://www.salam-mosque.org/prayer-times/
Montréal (nord/est),Mosquée Al-Falah,mosque,angle boulevard Saint-Laurent et rue Legendre,Montréal (Ahuntsic),,,,,,medium,https://www.islamicfinder.org/world/view-place/60436/,
Montréal (nord/est),Mosquée Tawuba,mosque,2361 rue Ontario Est,Montréal (Centre-Sud),H2K 1W2,514-991-3441,tawubamosque@gmail.com,,https://tawuba.ca/,high,https://proudmuslimmtl.ca/masjids/mercier-hochelaga-maisonneuve/,https://tawuba.ca/
Montréal (nord/est),Baitul Ma'Moor Mosque,mosque,2833 rue Ontario Est,Montréal (Centre-Sud/Hochelaga),H2K 1X5,,baitulmamoor@gmail.com,,http://www.mamoor.ca,high,http://www.mamoor.ca/location.html,https://muslimlink.ca/directory/montreal/muslim-services/masjids-musallahs/3155-baitul-ma-moor?city=montreal
Montréal (nord/est),Masjid Salahouddine,mosque,6691 avenue du Parc,Montréal (La Petite-Patrie/Mile-Ex),,514-274-6194,info@aicp.ca,,,high,https://muslimlink.ca/directory/montreal/muslim-services/masjids-musallahs/3151-salahouddine-mosque?city=montreal,https://muslimlink.ca/directory/montreal/muslim-services/masjids-musallahs/3151-salahouddine-mosque?city=montreal
Montréal (nord/est),Association Musulmane de Montréal-Nord (Masjid Noor Al-Islam),mosque,10395 avenue Pelletier,Montréal (Montréal-Nord),H1H 3R2,514-416-6244,info@ammn.ca,,http://www.ammn.ca,high,https://proudmuslimmtl.ca/masjids/montreal-nord/,https://ammn.ca/contact
Montréal (nord/est),Centre Culturel Islamique Ach-Choura,mosque,5434 boulevard Henri-Bourassa Est,Montréal (Montréal-Nord),H1G 2S9,514-852-0778,c.c.achoura@gmail.com,,http://achoura.ca,high,https://www.yellowpages.ca/bus/Quebec/Montreal-Nord/Centre-Culturel-Islamique-Ach-Choura/7123192.html,https://achoura.ca/contactus
Montréal (nord/est),Islamic Center Al-Houda (ICAH),islamic_centre,9935 avenue Lausanne,Montréal (Montréal-Nord),H1H 5A6,514-291-9256,,,,high,https://moonode.com/entity/islamic-center-al-houda--828889-9935-av-lausanne-montreal-nord-qc-h1h-5a6-canada,
Montréal (nord/est),Masjid Fatima Azzahra (Fondation Internationale Azzahra),mosque,3642 rue Fleury Est,Montréal (Montréal-Nord),H1H 2S4,514-727-6666,,,http://azzahra.ca,high,https://muslimlink.ca/directory/montreal/muslim-services/masjids-musallahs/3180-fatima-azzahra?city=montreal,
Montréal (nord/est),Mosquée Imam Warch,mosque,3210 boulevard Henri-Bourassa Est,Montréal (Montréal-Nord),H1H 5T1,514-508-5282,,,http://www.imamwarch.com,high,https://moonode.com/entity/imam-warch-813840-3210-boul-henri-bourassa-e-montreal-nord-qc-h1h-5t1-canada,
Montréal (nord/est),Maison Masjid Canada,musalla,"6830 avenue du Parc, #365B",Montréal (Parc-Extension),H3N 1W7,438-270-5089,info@masjidcanada.org,,https://masjidcanada.org/,high,https://masjidcanada.org/,https://masjidcanada.org/
Montréal (nord/est),Masjid Uthman bin Affan,musalla,"950 avenue Ogilvy, local 8",Montréal (Parc-Extension),H3N 1P4,,,,,medium,https://www.scribd.com/doc/90596543/Liste-Mosque-Last,
Montréal (nord/est),Mosquée et Centre communautaire CCSCA,mosque,13201 rue Sherbrooke Est,Montréal (Pointe-aux-Trembles),H1A 1C2,,,,,high,https://praysalat.com/mosque/montreal/47730-mosquee-et-centre-communautaire-ccsca,
Montréal (nord/est),"Mosquée El Fath (listed as Masjid Makkah-Al-Mukkaramah, RDP)",mosque,11660 boulevard Rivière-des-Prairies,Montréal (Rivière-des-Prairies),H1C 1P9,514-951-1660,ccf.rdp@gmail.com,,http://www.elfath.ca/,high,https://proudmuslimmtl.ca/masjids/riviere-des-prairies-pointe-aux-trembles/,https://initiatives-musulmanes.com/dalilook/directory/centre-communautaire-el-fath/
Montréal (nord/est),Al Bayan Islamic Community Center,mosque,5865 boulevard Saint-Michel,Montréal (Rosemont),H1Y 2E3,438-877-8389,,,,high,https://proudmuslimmtl.ca/masjids/rosemont-le-petite-partie/,
Montréal (nord/est),Centre Communautaire Islamique de l'Est de Montréal (CCIEM / Mosquée Assahaba),mosque,4201 rue Bélanger,Montréal (Rosemont),H1T 1A4,514-725-0008,centre.ciem@gmail.com,,http://cciem.org/,high,https://www.pagesjaunes.ca/bus/Quebec/Montreal/Centre-Communautaire-Islamique-De-L-Est-De-Montr-eal/7497449.html,http://cciem.org/
Montréal (nord/est),Centre Islamique Badr de Saint-Léonard,mosque,8625 boulevard Langelier,Montréal (Saint-Léonard),H1P 2C6,514-255-6460,info@centrebadr.net,,http://www.centrebadr.net/,high,https://proudmuslimmtl.ca/masjids/saint-leonard/,https://www.muslimguide.com/show/Centre_Islamique_Badr_4660
Montréal (nord/est),Centre Tawhid (Al Tawhid Mosque),mosque,5950 rue Jean-Talon Est,Montréal (Saint-Léonard),H1S 1M2,514-552-3122,centres.tawhid@gmail.com,,https://www.centres-tawhid.ca/,high,https://proudmuslimmtl.ca/masjids/saint-leonard/,https://www.centres-tawhid.ca/contact/
Montréal (nord/est),Premier Centre Al-Tawhid,mosque,6130 rue Jean-Talon Est,Montréal (Saint-Léonard),H1S 1M7,514-223-2353,contact@altawheed.ca,,https://www.altawhid.ca/,high,https://www.altawhid.ca/,https://www.altawhid.ca/
Montréal (nord/est),Tawheed Mosque (boulevard Lacordaire),mosque,boulevard Lacordaire,Montréal (Saint-Léonard/Rosemont),H1T 1G7,,,,,medium,https://proudmuslimmtl.ca/masjids/saint-leonard/,
Montréal (nord/est),Mosquée et Centre Assalam,mosque,8988 boulevard Saint-Michel,Montréal (Saint-Michel),H1Z 3G4,438-993-8682,,,,high,https://www.pagesjaunes.ca/bus/Quebec/Montreal/Centre-Et-Mosquee-Assalam/102188614.html,
Montréal (nord/est),Mosquée Yunus / Turkish Islamic Center of Quebec,mosque,3783-3785 rue Villeray,Montréal (Saint-Michel/Villeray),H2A 1G5,514-722-1835,info@turkcommunity.ca,,,high,https://prayersconnect.com/mosques/12494853-turkish-islamic-center-of-quebec-montreal-quebec-canada,https://muslimlink.ca/directory/montreal/muslim-services/masjids-musallahs/3164-turkish-community-center?city=Montreal
Montréal (nord/est),Centre Bel Agir (Masjid Al-Ihsan),mosque,8390 rue Saint-Hubert,Montréal (Villeray),H2P 1Z3,514-383-3682,centre.belagir.mtl@gmail.com,,http://www.belagir.ca,high,https://moonode.com/entity/bel-agir-192280-8390-rue-st-hubert-montreal-qc-h2p-1z3-canada,https://centre-belagir.ca/
Montréal (nord/est),Centre Communautaire Villeray / Mosquée Aboubakr,mosque,371 rue Jean-Talon Est,Montréal (Villeray),H2R 2E2,514-506-8899,info@ccvmac.ca,,https://ccvmac.ca,high,https://www.facebook.com/ccvmac.ca/,https://mawaqit.net/en/ccvmac-montreal
Montérégie (Rive-Sud),Centre Communautaire Musulman de Boucherville (CCMB),islamic_centre,550 boul. de Mortagne,Boucherville,J4B 1B8,450-641-9876,,,https://ccmboucherville.ca/,high,https://ccmboucherville.ca/,
Montérégie (Rive-Sud),Abshar (Afghan/Persian prayer space),musalla,,Brossard,,,,,,low,https://www.zabihah.com/mosques/cb660389-7767-11ef-95ae-6045bdeb9f57/abshar-brossard-qc,
Montérégie (Rive-Sud),Ebrahim Musallah,musalla,1505A boul. Provencher,Brossard,J4W 1Z3,,,,,medium,https://salatomatic.com/spc/bC9P4EsQmF,
Montérégie (Rive-Sud),Islamic Community Center of South Shore (ICC Brossard) - Masjid Quba / Centre Communautaire Islamique de la Rive-Sud,mosque,5905 boul. Grande-Allée,Brossard,J4Z 3G4,450-656-9841,services@iccbrossard.com,,https://iccbrossard.com/,high,https://brossard-quebec.catalog-online.ca/mosque/islamic-community-center-brossard/,https://iccbrossard.com/
Montérégie (Rive-Sud),Association de la Paix de Chambly (APC) - Mosquée,mosque,1691C boul. de Périgny,Chambly,J3L 4C3,,info@apchambly.com,,https://www.apchambly.com/,high,"https://islammessage.org/fr/center/2053/Association-de-la-Paix-de-Chambly--1691-Boulevard-de-P%C3%A9rigny,-Chambly,-QC-J3L-1X1",https://apchambly.com/contact.html
Montérégie (Rive-Sud),Association Culturelle Musulmane Al Amal Châteauguay (ACMAC) - Mosquée Al Amal,mosque,120 boul. Saint-Jean-Baptiste,Châteauguay,J6K 3A9,,sadaqa@acmac.ca,,https://acmac.ca/,high,https://acmac.ca/fr/mosque,https://www.acmac.ca/fr
Montérégie (Rive-Sud),Centre Culturel Musulman de Châteauguay - Mosquée Arrahmane,mosque,161 boul. Saint-Jean-Baptiste,Châteauguay,J6K 3B4,514-207-0613,razmane24@gmail.com,,https://ccmchateauguay.org/,high,https://www.waze.com/live-map/directions/ca/qc/chateauguay/centre-culturel-musulman-de-chateauguay-mosquee-arrahmane?to=place.ChIJX5xkjlAVyUwRlR-KUovIaF0,https://prayersconnect.com/mosques/12461409-centre-culturel-musulman-de-chateauguay-mosquee-arrahmane-chateauguay-quebec-canada
Montérégie (Rive-Sud),Mosquée Châteauguay,mosque,215C boul. d'Anjou,Châteauguay,J6J 2R3,,,,https://mosqueechateauguay.ca/,medium,https://mosqueechateauguay.ca/locations/mosquee-chateauguay/,
Montérégie (Rive-Sud),Mosquée Attawassol (Centre Culturel Islamique de Roussillon),mosque,11 4e Avenue,Delson,J5B 1P9,,info@cciroussillon.com,ccir@hotmail.com,https://masjidattawassol.com/,medium,https://masjidattawassol.com/en/,https://cciroussillon.com/
Montérégie (Rive-Sud),Centre Communautaire Musulman de Longueuil (CCML),islamic_centre,1398 chemin de Chambly,Longueuil,J4J 3X3,450-321-1225,infoccmlongueuil@gmail.com,,https://ccmlongueuil.ca/,high,https://opengovca.com/quebec-business/1164163843,https://ccmlongueuil.ca/Contact.html
Montérégie (Rive-Sud),Jamia Islamia Longueuil,mosque,2144 rue Sainte-Hélène,Longueuil,J4K 3T6,450-674-9018,,,,high,https://moonode.com/entity/jamia-islamia-498266-2144-rue-sainte-helene-longueuil-qc-j4k-3t6-canada,
Montérégie (Rive-Sud),Centre Musulman Al-Manara,islamic_centre,42 rue Saint-Pierre,Saint-Constant,,450-509-3111,,,,medium,https://www.yellowpages.ca/bus/Quebec/Saint-Constant/Centre-Musulman-Al-Manara/100866854.html,
Montérégie (Rive-Sud),Masjid Al-Falah (Markaz El Islam),mosque,1885 rue Nielsen,Saint-Hubert (Longueuil),J4T 1P1,450-443-3482,info@masjidalfalah.ca,donations@masjidalfalah.ca,https://masjidalfalah.ca/,high,https://moonode.com/entity/al-falah-longueuil-367873-1885-rue-nielsen-saint-hubert-qc-j4t-1p1-canada,https://masjidalfalah.ca/en/contact/
Montérégie (Rive-Sud),Centre Islamique Maskoutain (Les Maskoutains),islamic_centre,2340 av. Saint-Joseph,Saint-Hyacinthe,J2S 5L5,,info@cimaskoutain.com,,https://cimaskoutain.com/,high,"https://islammessage.org/en/center/2044/Centre-Islamique-Les-Maskoutains--2340-Avenue-Saint-Joseph,-Saint-Hyacinthe,-QC-J2S-5L5",https://cimaskoutain.com/contact/
Montérégie (Rive-Sud),Centre Communautaire Al-Imane (Centre Zad Al-Imane),islamic_centre,1073A boul. du Séminaire Nord,Saint-Jean-sur-Richelieu,J3A 1R2,450-800-4266,centre.culturel.alimane.stjean@gmail.com,,https://ccai-stjean.org/,high,https://www.thehashir.com/mosques-details/Centre-Communautaire-Al-Imane/314,https://ccai-stjean.org/contactez-nous/
Montérégie (Rive-Sud),Centre Culturel Islamique de Valleyfield,islamic_centre,73 rue Sainte-Cécile,Salaberry-de-Valleyfield,J6T 1L9,450-370-9040,,,,high,https://www.islamicfinder.org/world/view-place/55720/?language=fr,
Montérégie (Rive-Sud),CCM Sorel-Tracy (Centre Communautaire Multiculturel Sorel-Tracy),islamic_centre,,Sorel-Tracy,,,,,http://www.ccmsoreltracy.ca/,low,https://mawaqit.net/en/m/ccm-sorel-tracy,
Montérégie (Rive-Sud),Centre Culturel Islamique de Vaudreuil-Soulanges - Masjid Attakwa (Vaudreuil Islamic Community Centre),mosque,100 boul. Harwood,Vaudreuil-Dorion,J7V 1X9,450-218-3687,info-iccvs@islamvaudreuil.ca,,https://www.islamvaudreuil.ca/,high,https://canada247.info/explore/quebec/vaudreuil_soulanges/vaudreuil_dorion/dorion/centre-culturel-islamique-de-vaudreuil-soulanges-450-218-3687.html,https://www.islamvaudreuil.ca/contact
Reste du Québec,Centre Communautaire Musulman de Drummondville,islamic_centre,127 12e Avenue,Drummondville,,,ccmd.drummondville@gmail.com,,,medium,https://td.maptons.com/p/1920918333,http://www.ccmdrummond.com/nous_joindre.php
Reste du Québec,Centre Islamique de Drummondville,islamic_centre,480 rue Saint-Jean,Drummondville,,,centreislamiquedrummondville@hotmail.com,cidrummondville@gmail.com,https://centreislamiquededrummondville.com/,high,https://centreislamiquededrummondville.com/,https://centreislamiquededrummondville.com/
Reste du Québec,The Mosque of Aylmer (Mosquée d'Aylmer),mosque,21 rue Park,Gatineau (Aylmer),J9H 4J6,,info@mosque-aylmer.ca,finance@mosque-aylmer.ca,https://www.mosque-aylmer.ca/,high,https://www.mosque-aylmer.ca/,https://www.mosque-aylmer.ca/contact
